 No., BrcContingencyIndex, fbusCont, tbusCont, #ofPVtoPQ
 461 653 674 694 2
 462 654 676 692 2
 463 655 677 678 2
 464 656 677 688 2
 465 657 677 689 2
 466 658 680 682 2
 467 659 681 684 1
 468 662 689 693 2
 469 663 693 694 2
 470 664 696 698 2
 471 665 697 698 2
 472 667 700 701 2
 473 668 700 721 2
 474 669 701 737 2
 475 670 702 703 2
 476 672 702 722 2
 477 673 702 734 2
 478 674 702 737 2
 479 675 703 717 2
 480 676 703 729 2
 481 677 703 735 2
 482 679 705 707 2
 483 680 705 719 2
 484 681 706 707 2
 485 684 706 725 2
 486 685 706 794 2
 487 688 711 712 2
 488 689 711 742 2
 489 690 712 728 2
 490 691 714 715 1
 491 692 714 746 1
 492 693 715 739 1
 493 694 716 717 2
 494 695 716 720 2
 495 697 719 724 2
 496 698 719 734 2
 497 699 719 735 2
 498 700 720 721 2
 499 702 721 738 2
 500 703 722 723 1
 501 704 723 746 1
 502 705 724 725 2
 503 707 728 729 2
 504 713 739 740 1
 505 714 742 743 2
 506 715 743 758 2
 507 718 747 749 2
 508 719 748 749 2
 509 721 751 752 2
 510 722 751 772 2
 511 723 752 788 2
 512 724 753 754 2
 513 726 753 773 2
 514 727 753 785 1
 515 728 753 788 2
 516 729 754 768 2
 517 730 754 780 2
 518 731 754 786 1
 519 733 756 758 2
 520 734 756 770 2
 521 735 757 758 2
 522 738 757 776 2
 523 741 762 763 2
 524 742 762 793 2
 525 743 763 779 2
 526 744 765 766 2
 527 745 765 797 2
 528 746 766 790 2
 529 747 767 768 2
 530 748 767 771 2
 531 750 770 775 2
 532 751 770 785 1
 533 752 770 786 2
 534 753 771 772 2
 535 754 771 778 2
 536 755 772 789 1
 537 756 773 774 2
 538 757 774 797 2
 539 758 775 776 2
 540 759 777 778 2
 541 760 779 780 2
 542 766 790 791 2
 543 767 793 794 2
 544 793 93 38 2
 545 796 73 46 2
 546 799 58 87 2
 547 800 58 87 2
 548 802 74 79 2
 549 803 74 79 2
 550 805 144 98 2
 551 806 151 99 1
 552 807 152 100 2
 553 808 255 212 2
 554 810 254 217 2
 555 811 256 218 2
 556 813 221 223 1
 557 814 222 224 2
 558 815 246 224 2
 559 816 230 232 2
 560 817 231 233 2
 561 818 246 244 2
 562 825 275 297 2
 563 826 295 276 2
